id,change_date,store_code,old_plan_name,old_plan_speed,old_plan_quota,old_plan_price,new_plan_name,new_plan_speed,new_plan_quota,new_plan_price,number_of_movements
18740,12/2/2019,101-001,Super ,30,250,210,Mega ,70,140,220,1
18741,12/2/2019,TEECA02021,Super ,30,250,210,Super ,30,140,120,1
18742,12/2/2019,101-TEGCCABCCNCC,Super ,30,140,120,Super ,30,140,120,10
18743,12/2/2019,TEOCA010112,Ultra ,100,250,410,Mega ,70,250,310,1
18744,12/1/2019,TEEAL07022,Super ,30,140,120,Super ,30,250,210,2
18745,12/1/2019,TREX00079,Ultra ,100,600,700,Super ,30,600,500,1
18746,12/1/2019,TEOSO13021,Super ,30,250,210,Super ,30,140,120,1
18747,12/1/2019,TRMF00016,Super ,30,140,120,Super ,30,250,210,1
18748,12/1/2019,TEOCA01014,Super ,30,140,120,Super ,30,250,210,1
18749,12/1/2019,TDOGI04043,Super ,30,250,210,Super ,30,140,120,1
18750,12/1/2019,TEOMO08026,Super ,30,250,210,Super ,30,600,500,1
18751,12/1/2019,TEOAL05029,Super ,30,250,210,Super ,30,140,120,2
18752,12/1/2019,TDOGI04044,Ultra ,100,600,700,Mega ,70,250,310,1
18753,12/1/2019,TEOGI040410,Super ,30,250,210,Super ,30,140,120,1
18754,12/1/2019,TDOGI06011,Super ,30,140,120,Super ,30,140,120,1
18755,12/1/2019,TRFR00008,Super ,30,140,120,Super ,30,250,210,1
18756,12/1/2019,TEOSO13021,Super ,30,140,120,Super ,30,250,210,2
18757,12/1/2019,TDOCA01021,Super ,30,140,120,Super ,30,250,210,3
18758,12/1/2019,TEOKS09036,Super ,30,140,120,Super ,30,600,500,1
18759,12/1/2019,DNFGH0801004,Super ,30,250,210,Super ,30,140,120,1
18760,12/1/2019,TEOCA01013,Super ,30,140,120,Super ,30,250,210,1
18761,12/2/2019,TEOGI04019,Super ,30,140,120,Super ,30,250,210,1
18762,12/2/2019,TEOSO13021,Super ,30,140,120,Super ,30,250,210,4
18763,12/2/2019,TEECA01011,Super ,30,250,210,Super ,30,140,120,2
18764,12/2/2019,TEOCA01032,Super ,30,140,120,Super ,30,250,210,4
